,0
0,https://www.songsterr.com/a/wsa/slipknot-psychosocial-tab-s19615t8
1,https://www.songsterr.com/a/wsa/jinjer-pisces-tab-s435465t0
2,https://www.songsterr.com/a/wsa/breakdown-of-sanity-crumble-tab-s391078t1
3,https://www.songsterr.com/a/wsa/competition-5-your-majesty-tab-s4203t4
4,https://www.songsterr.com/a/wsa/crazy-trains-falah-tab-s3821t5
5,https://www.songsterr.com/a/wsa/jason-deadwyler-death-by-millions-tab-s6433t1
6,https://www.songsterr.com/a/wsa/deadsy-fox-on-the-run-tab-s29100t0
7,https://www.songsterr.com/a/wsa/djeena-circus-adramelec-tab-s6519t5
8,https://www.songsterr.com/a/wsa/msb-competition-mar-apr-2005-insipid-2005-tab-s12413t4
9,https://www.songsterr.com/a/wsa/suicide-silence-lifted-tab-s23826t4
10,https://www.songsterr.com/a/wsa/d-espairsray-angeldust-tab-s29759t0
11,https://www.songsterr.com/a/wsa/d-espairsray-kaleidoscope-tab-s33098t4
12,https://www.songsterr.com/a/wsa/d-espairsray-mirror-tab-s33099t5
13,https://www.songsterr.com/a/wsa/evans-blue-the-pursuit-tab-s34530t0
14,https://www.songsterr.com/a/wsa/jesu-silver-tab-s39204t1
15,https://www.songsterr.com/a/wsa/hava-nagila-rootwater-tab-s41660t1
16,https://www.songsterr.com/a/wsa/tom-chiron-whered-you-get-that-shirt-tab-s45511t0
17,https://www.songsterr.com/a/wsa/remembering-vengeance-destruction-tab-s46328t1
18,https://www.songsterr.com/a/wsa/ozzy-osbourne-black-rain-tab-s49709t0
19,https://www.songsterr.com/a/wsa/suicide-silence-girl-of-glass-tab-s55099t0
20,https://www.songsterr.com/a/wsa/suicide-silence-distorted-thought-of-addiction-tab-s55100t0
21,https://www.songsterr.com/a/wsa/suicide-silence-eyes-sewn-shut-tab-s55105t1
22,https://www.songsterr.com/a/wsa/ofensywnyrondel-123123123-tab-s55411t2
23,https://www.songsterr.com/a/wsa/slipknot-yen-tab-s515348t0
24,https://www.songsterr.com/a/wsa/chelsea-grin-lifeless-tab-s60686t1
25,https://www.songsterr.com/a/wsa/chelsea-grin-judgement-tab-s62783t1
26,https://www.songsterr.com/a/wsa/we-butter-the-bread-with-butter-superfohn-bananendate-tab-s63833t6
27,https://www.songsterr.com/a/wsa/d-espairsray-lizard-tab-s69908t1
28,https://www.songsterr.com/a/wsa/garbage-guts-leprotic-foetal-frenzy-tab-s70768t0
29,https://www.songsterr.com/a/wsa/jesu-brighteyes-tab-s72100t0
30,https://www.songsterr.com/a/wsa/tremble-oh-earth-eternal-tab-s75016t2
31,https://www.songsterr.com/a/wsa/bleeding-effect-you-re-all-the-same-tab-s75061t0
32,https://www.songsterr.com/a/wsa/bloodpurge-chainsawdomy-tab-s75431t1
33,https://www.songsterr.com/a/wsa/combustion-the-beginning-tab-s75491t1
34,https://www.songsterr.com/a/wsa/bloodpurge-ridgway-tab-s75569t1
35,https://www.songsterr.com/a/wsa/zctt-outside-of-you-tab-s75634t0
